Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Kilometers_Driven_Per_Year,Current_Age
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,20.89221804511278,12.5,False,False,True,4555.555555555556,9
2,Honda Jazz V,Chennai,2011,46000,First,13.0,1199.0,88.7,5.0,8.61,4.5,False,True,True,3538.4615384615386,13
3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,20.89221804511278,6.0,False,False,True,7250.0,12
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,20.89221804511278,17.74,False,False,False,3697.2727272727275,11
6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,20.89221804511278,3.5,False,False,True,7909.0,11
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,21.0,17.5,False,False,False,4500.0,8
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,20.89221804511278,5.2,False,False,True,5857.272727272727,11
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,20.89221804511278,1.95,False,False,True,5494.333333333333,12
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,10.65,9.95,False,True,True,4282.0,6
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,20.89221804511278,4.49,False,True,False,5000.0,12
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,20.89221804511278,5.6,False,False,True,7158.222222222223,9
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,20.89221804511278,27.0,False,False,False,7200.0,10
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,18.283619293712317,2179.0,115.0,5.0,20.89221804511278,17.5,False,False,False,7083.333333333333,12
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.01,15.0,False,False,True,11000.0,10
16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,20.89221804511278,5.4,False,False,True,7368.75,8
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,20.89221804511278,5.99,False,False,True,3571.4285714285716,7
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,20.89221804511278,6.34,False,False,True,7746.9,10
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,20.89221804511278,28.0,False,False,False,7850.0,10
